epoch,accuracy,f1_score,learning_rate,loss,val_accuracy,val_f1_score,val_loss
19,0.8544204235076904,0.8553830981254578,9.999999747378752e-06,0.46059444546699524,0.9291059970855713,0.9282357692718506,0.24459943175315857
20,0.9180956482887268,0.9185531139373779,9.999999747378752e-06,0.23602190613746643,0.9436690807342529,0.9428626298904419,0.20354817807674408
21,0.9350961446762085,0.9355046153068542,9.999999747378752e-06,0.18612027168273926,0.9463996887207031,0.9460148215293884,0.19243957102298737
22,0.9441773295402527,0.9444068074226379,9.999999747378752e-06,0.15687762200832367,0.9513046145439148,0.9511488676071167,0.18630024790763855
23,0.9528445601463318,0.9524835348129272,9.999999747378752e-06,0.13603679835796356,0.9542880058288574,0.9542034864425659,0.1855718195438385
24,0.9572382569313049,0.9574259519577026,9.999999747378752e-06,0.11935798078775406,0.9560073018074036,0.9554716944694519,0.18768206238746643
25,0.9601629376411438,0.960135817527771,9.999999747378752e-06,0.11158310621976852,0.9569680690765381,0.9571132063865662,0.18736420571804047
26,0.9635283350944519,0.9635522961616516,9.999999747378752e-06,0.1000332310795784,0.959749162197113,0.9597601294517517,0.1787598431110382
27,0.9664262533187866,0.9665157198905945,9.999999747378752e-06,0.09255529940128326,0.9574231505393982,0.9576187133789062,0.19426196813583374
28,0.9684028029441833,0.9683952927589417,9.999999747378752e-06,0.08648142963647842,0.9618223905563354,0.9618745446205139,0.1732930988073349
29,0.9712339639663696,0.9710062146186829,9.999999747378752e-06,0.07845855504274368,0.9617718458175659,0.9621344208717346,0.1772506684064865
30,0.9719017148017883,0.9719802737236023,9.999999747378752e-06,0.07426050305366516,0.9618223905563354,0.9617376923561096,0.18320171535015106
31,0.9734107851982117,0.9733496308326721,9.999999747378752e-06,0.07032139599323273,0.9624292254447937,0.9624145030975342,0.18323452770709991
32,0.975734531879425,0.9758188128471375,9.999999747378752e-06,0.06489916145801544,0.9607605338096619,0.9607852101325989,0.20502349734306335
33,0.9763221144676208,0.9763336777687073,9.999999747378752e-06,0.062164194881916046,0.9631876945495605,0.9631906747817993,0.19873180985450745
34,0.9779113531112671,0.9779820442199707,4.999999873689376e-06,0.05864021182060242,0.9650586843490601,0.9651327133178711,0.1952091008424759
35,0.9792601466178894,0.9792683124542236,4.999999873689376e-06,0.05470956489443779,0.9641484618186951,0.9643599987030029,0.19624550640583038
36,0.9801415801048279,0.9801563620567322,4.999999873689376e-06,0.052580855786800385,0.9635416865348816,0.9639238715171814,0.19427591562271118
37,0.980381965637207,0.9803736805915833,4.999999873689376e-06,0.05223390460014343,0.9653114676475525,0.9652730822563171,0.18524006009101868
38,0.9801949858665466,0.9802033305168152,4.999999873689376e-06,0.0515139102935791,0.9643001556396484,0.964350163936615,0.1990392953157425
